,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192607,0.56,-5.19,1.29,2.93,10.97,-0.48,8.08,1.77,8.14,0.39,2.07,4.07,5.43,3.18,16.39,1.02,5.64,1.54,-1.4,7.04,0.83,9.22,2.06,7.7,1.91,-23.79,0.07,1.87,-0.02,5.2
192608,2.59,27.03,6.5,0.55,10.01,-3.58,-2.51,4.25,5.5,7.97,4.72,2.17,2.06,2.1,4.23,1.66,0.55,0.85,3.69,-1.69,2.17,2.02,4.39,-2.38,4.85,5.39,-0.75,-0.13,4.47,6.76
192609,1.16,4.02,1.26,6.58,-0.99,0.73,-0.51,0.69,5.33,2.3,-0.5,0.15,0.36,-0.56,4.83,2.73,1.74,0.3,-3.69,2.04,2.41,2.25,0.19,-5.54,0.07,-7.87,0.25,-0.56,-1.61,-3.86
192610,-3.06,-3.31,1.06,-4.76,9.47,-4.68,0.12,-0.57,-4.76,1,-4.55,-3.85,1.11,-5.73,-7.93,-5.56,-3.2,2.23,-1.04,-2.63,-0.11,-2,-1.09,-5.08,-2.61,-15.38,-2.2,-4.11,-5.51,-8.49
192611,6.35,7.29,4.55,1.66,-5.8,-0.54,1.87,5.42,5.2,3.1,2.2,3.86,3.18,5.08,-0.66,7.87,8.46,-0.48,0.06,3.71,1.63,3.77,3.64,3.84,1.61,4.67,6.52,4.33,2.34,4
192612,-0.51,-4.09,2.55,2.17,0.53,2.56,0.6,0.11,5.37,6.39,3.52,3.75,5.02,-2.47,10.49,2.48,1.83,1.43,2.94,-0.17,1.99,6.21,7.24,-4.63,3.68,9.65,0.57,1.51,2.6,-2.34
192701,-0.84,0.57,-0.35,1.87,9.67,4.08,-1.06,5.05,0.23,-1.49,-1.89,-0.39,1.19,-1.02,-0.81,-0.61,4.17,-3.06,1.67,-1.79,1.88,2.08,-1.45,-2.6,1.42,-17.93,-2.7,1.52,-2.04,-3.96
192702,4.42,12.83,1.49,1.64,1.41,4.57,2.77,1.71,9.69,7.66,4.17,3.67,7.85,4.3,9.56,4.6,5.2,5.64,1.13,4.53,3.97,8.9,4.85,5.46,5.18,3.49,3.47,6.86,2.71,0.28
192703,2.09,-13.56,5.51,1.02,-0.28,-0.08,0.9,1.01,6.07,-5.38,3.46,1.48,-2.24,0.4,1.56,-1.76,4.44,5.45,-7.01,0.37,5.56,-7.8,4.29,-9.67,1.02,-20.47,-0.3,-2.42,0.92,2.18
192704,2.72,2.85,4.01,-3.77,-0.96,1.44,5.95,2.74,2.95,0.46,-0.95,-0.34,1.82,6.29,2.91,-0.75,3.02,0.95,-5.78,1.71,-2.13,3.44,3.1,4.93,0.71,-10.75,4.38,5.92,2.45,5.27
192705,6.13,11.62,11.8,0.18,3.13,10.54,3.37,4.12,3.85,13.21,7.51,3.22,8.74,8.23,5.54,11.02,0.25,3.19,5,9.21,3.35,18.33,5.1,5.36,7.06,-4.01,2.24,4.7,10.03,1.64
192706,-2.22,10.05,-2.3,-7.74,12.54,-3.03,1.17,0.54,-1.72,2.29,-4.69,-3.42,-2.29,3.47,-3.37,-3.9,-1.93,-3.35,-3.14,-3.57,-2.14,-6.8,2.73,5.44,-2.02,-4.18,-0.7,1.31,-0.06,-3.82
192707,5.04,4.59,4.39,1.14,1.78,5.5,6.01,9.84,17.69,4.35,6.35,10.33,9.61,14.69,13.71,11.99,8.72,2.19,2.91,5.31,3.73,2.15,6.19,12.02,5.97,11.11,10.11,4.68,6.5,6.81
192708,2.33,-3.98,3.83,6.2,5.46,0.52,1.56,0.28,2.1,0.49,-1.17,3.97,0.9,7.06,7.32,3.97,0.97,2.43,-0.26,3.43,0.43,8.06,2.25,3.76,-1.66,-2.58,7.68,0.55,1.81,5.92
192709,6.04,7.01,4.63,4.18,10.04,2.53,4.65,5.65,5.97,1.89,4.56,3.77,5.3,0.11,6.28,3.73,6.83,1.46,3.5,8.29,6.53,2.15,4.17,3.37,4.32,5.6,7.61,5.94,5.98,0.43
192710,-2.46,-0.8,-0.32,0.26,2.63,-1.84,9.65,5.13,-7.46,-2.39,-4.54,-7.82,-5.21,-8.22,-4.55,-6.71,-3.17,-5.33,-1.73,-4.34,-2.09,4.97,-4.66,0.14,-4.61,-21.78,-5.03,-1.75,4.01,-3.62
192711,7.17,10.29,6.69,3.58,16.62,2.73,2.06,3.68,9.04,5.11,5.53,12.44,11.5,11.38,6.77,8.14,8.24,7.48,3.87,6.32,2.83,2.3,9.38,16.87,3.92,-1.3,12.11,3.01,7.92,11.19
192712,3.53,12.72,1.03,2.81,3.27,10.31,-0.15,-0.46,-0.23,2.41,0.05,5.84,2.92,1.19,7.67,2.76,13.43,-3.33,1.28,2.24,1.33,-7.83,1.3,1.04,0.07,11.45,-0.66,-1.56,11.17,1.07
192801,2.54,0.62,-2.56,-0.37,5.16,3.67,7.07,2.69,-1.08,-1.1,1.84,-2.42,-1.24,-1.01,-3.15,4.19,-1.66,-3.79,-1.69,5.87,0.3,0.56,1.18,1.51,-1.25,-0.95,-0.85,-1.58,1.48,-3.38
192802,-2.96,-5.22,-5.97,-0.89,-1.75,-0.01,-2.45,-1.38,0.73,-4.77,1.58,-2.72,-2.76,-1.46,0.94,-4.6,-7.59,-1.33,-0.12,-0.68,-0.3,-0.52,2.02,0.86,-1.38,-8.29,-1.04,-2.59,-2.9,-2.68
192803,5.11,14.47,2.34,8.82,5.26,9.99,3.99,10.54,13.16,7.63,6.59,6.16,6.5,26.17,27.86,6.53,7.37,5.23,5.33,6.62,1.96,-2.44,3.23,11.08,5.72,8.12,8.69,3.47,9.56,8.85
